words,frequency,avgStar,avgStar_from_grandmean,sig2,type,BadReviewRate,BRR_from_grandmean,GoodReviewRate,GRR_from_grandmean,Sig1
tomato,4000,3.617,-0.019334,No,Negative,0.1095,-0.040170837,0.33275,-0.05904584,No
mozzarella,2179,3.9279486,0.2916146,No,Positive,0.066544286,-0.083126551,0.419917393,0.028121553,Yes
pepperoni,5964,3.697350771,0.061016771,No,Positive,0.107981221,-0.041689616,0.354795439,-0.037000401,No
garlic,4061,3.680128047,0.043794047,No,Positive,0.104654026,-0.045016811,0.353361241,-0.038434599,No
onion,2750,3.587636364,-0.048697636,No,Negative,0.121818182,-0.027852655,0.321090909,-0.070704931,No
pepper,3506,3.701369082,0.065035082,No,Positive,0.092127781,-0.057543056,0.332857958,-0.058937882,No
olive,2165,3.73256351,0.09622951,No,Positive,0.095612009,-0.054058828,0.357967667,-0.033828173,No
fry,5473,3.483829709,-0.152504291,No,Negative,0.119130276,-0.030540561,0.272428284,-0.119367556,No
italian,8730,3.903321879,0.266987879,No,Positive,0.074226804,-0.075444033,0.43161512,0.03981928,Yes
sauce,19099,3.601340384,-0.034993616,No,Negative,0.110895858,-0.038774979,0.331954553,-0.059841288,No
crispy,3092,4.028137128,0.391803128,No,Positive,0.037192755,-0.112478082,0.40232859,0.01053275,Yes
fresh,9871,4.181744504,0.545410504,Yes,Positive,0.039813595,-0.109857242,0.508661736,0.116865896,Yes
fried,2273,3.747910251,0.111576251,No,Positive,0.06775187,-0.081918967,0.334799824,-0.056996016,No
spicy,2082,3.984149856,0.347815856,No,Positive,0.042267051,-0.107403786,0.393852065,0.002056225,Yes
cold,3608,2.433203991,-1.203130009,Yes,Negative,0.407982262,0.258311425,0.143569845,-0.248225995,Yes
greasy,2095,3.250119332,-0.386214668,No,Negative,0.154653938,0.004983101,0.221957041,-0.1698388,Yes
thin,4800,3.825416667,0.189082667,No,Positive,0.066875,-0.082795837,0.362291667,-0.029504174,No
great,33372,4.21700827,0.58067427,Yes,Positive,0.035778497,-0.11389234,0.516121299,0.124325459,Yes
good,45751,3.703460034,0.067126034,No,Positive,0.07239186,-0.077278977,0.297283119,-0.094512721,No
recommend,6304,4.066148477,0.429814477,No,Positive,0.096288071,-0.053382766,0.520780457,0.128984617,Yes
like,25595,3.333776128,-0.302557872,No,Negative,0.162766165,0.013095328,0.270482516,-0.121313324,Yes
amazing,8178,4.525434091,0.889100091,Yes,Positive,0.017363659,-0.132307178,0.692956713,0.301160873,Yes
perfect,5002,4.483806477,0.847472477,Yes,Positive,0.014194322,-0.135476515,0.617952819,0.226156979,Yes
favorite,7559,4.394761212,0.758427212,Yes,Positive,0.023944966,-0.125725871,0.607487763,0.215691923,Yes
happy,4076,3.913395486,0.277061486,No,Positive,0.073846909,-0.075823928,0.403336605,0.011540764,Yes
nice,13120,3.861966463,0.225632463,No,Positive,0.050990854,-0.098679983,0.338567073,-0.053228767,No
special,5996,3.694796531,0.058462531,No,Positive,0.087224817,-0.06244602,0.351067378,-0.040728462,No
awesome,5095,4.41373896,0.77740496,Yes,Positive,0.021000981,-0.128669856,0.61373896,0.22194312,Yes
enjoyed,3491,4.040103122,0.403769122,No,Positive,0.030077342,-0.119593495,0.368948725,-0.022847115,No
delicious,12870,4.41017871,0.77384471,Yes,Positive,0.013597514,-0.136073323,0.573426573,0.181630733,Yes
love,12249,4.245489428,0.609155428,Yes,Positive,0.041227855,-0.108442982,0.55865785,0.166862009,Yes
tasty,4894,3.999795668,0.363461668,No,Positive,0.023293829,-0.126377008,0.346546792,-0.045249048,No
cool,2161,3.842202684,0.205868684,No,Positive,0.057843591,-0.091827246,0.354002776,-0.037793064,No
enjoy,2830,3.849116608,0.212782608,No,Positive,0.079151943,-0.070518894,0.381978799,-0.009817042,No
fantastic,3347,4.474155961,0.837821961,Yes,Positive,0.017030176,-0.132640661,0.640872423,0.249076583,Yes
fun,2157,4.104311544,0.467977544,No,Positive,0.037088549,-0.112582288,0.43579045,0.043994609,Yes
excellent,5642,4.408011343,0.771677343,Yes,Positive,0.017192485,-0.132478352,0.58560794,0.1938121,Yes
bad,6348,2.765595463,-0.870738537,Yes,Negative,0.281821046,0.132150209,0.167139256,-0.224656584,Yes
disappointed,3782,3.160232681,-0.476101319,No,Negative,0.21047065,0.060799813,0.299841354,-0.091954486,Yes
perfectly,2201,4.360290777,0.723956777,Yes,Positive,0.016356202,-0.133314635,0.544752385,0.152956545,Yes
terrible,2205,1.690702948,-1.945631052,Yes,Negative,0.618594104,0.468923267,0.028117914,-0.363677926,Yes
wonderful,2625,4.421333333,0.784999333,Yes,Positive,0.036952381,-0.112718456,0.639619048,0.247823207,Yes
loved,3290,4.280851064,0.644517064,Yes,Positive,0.029483283,-0.120187554,0.523708207,0.131912366,Yes
madison,2190,4.107762557,0.471428557,No,Positive,0.059360731,-0.090310106,0.515981735,0.124185895,Yes
pittsburgh,4339,4.130905739,0.494571739,No,Positive,0.066835676,-0.082835161,0.541599447,0.149803607,Yes
husband,3511,3.47336941,-0.16296459,No,Negative,0.176587867,0.02691703,0.348618627,-0.043177213,Yes
cleveland,2580,4.241860465,0.605526465,Yes,Positive,0.05503876,-0.094632077,0.58875969,0.19696385,Yes
wife,2983,3.453905464,-0.182428536,No,Negative,0.18069058,0.031019743,0.330874958,-0.060920882,Yes
